Company,Inches,RAM,Memory,OpSys,Weights,Price,X_res,Y_res,ppi,Gaming,Touchscreen,Cpu Brand,Gpu brand
LANRUO,6.0,8,128,Windows,1.03,639.99,1280.0,720.0,244.7674633424776,0,0,Celeron Processor,Intel 
Acer,14.0,16,512,Windows,3.2,991.22,1920.0,1080.0,157.3505121487356,0,0,Intel Core i7,Intel 
Dell,15.6,16,1024,Windows,29,2999.99,3456.0,2160.0,261.2487082723367,0,1,Intel Core i9,NVIDIA
Lenovo,14.0,8,256,Windows,5,379.1,1920.0,1080.0,157.3505121487356,0,0,Intel Core i5,Intel 
Dell,17.3,64,1000,Windows,6.65,699.99,3840.0,1080.0,230.57715799206466,1,0,Intel Core i7,NVIDIA
HP,14.0,16,512,Windows,3.04,479.99,1920.0,1080.0,157.3505121487356,0,0,Intel Core i5,Intel 
LG,16.0,16,2048,Windows,3.26,1249.0,2560.0,1600.0,188.67962264113208,0,0,Intel Core i7,Intel 
Acer,15.6,8,256,Windows,7,699.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i5,Intel 
Dell,14.0,16,512,Windows,5.53,997.77,2560.0,1600.0,215.6338544470081,0,1,Intel Core i7,Intel 
HP,15.6,16,1024,Windows,7,699.99,1920.0,1080.0,141.21199808219862,0,1,Intel Core i7,NVIDIA
HP,14.0,4,512,Windows,6.65,1973.05,1920.0,1200.0,161.72539083525606,0,1,Intel Core i7,Intel 
Lenovo,14.0,16,512,Windows,1,1287.18,1920.0,1200.0,161.72539083525606,0,0,AMD Processor,AMD
HP,16.1,32,2000,Windows,5.18,1799.0,1920.0,1080.0,136.82653230324834,1,0,Intel Core i7,NVIDIA
Dell,14.0,32,1024,Windows,2.99,495.0,1920.0,1080.0,157.3505121487356,0,0,Intel Core i7,Intel 
ASUS,11.6,4,32,Chrome OS,2.6,390.0,1366.0,768.0,135.0942111925629,0,0,Celeron Processor,Intel 
dynabook,15.6,8,256,Windows,5.65,873.84,1366.0,768.0,100.45466986113651,0,0,Intel Core i5,Intel 
HYUNDAI,15.6,16,960,Others/Linux/Mac OS,1.92,53.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i7,Intel 
Dell,13.3,16,256,Windows,4.2,1594.0,1920.0,1080.0,165.6321180513006,0,0,Intel Core i5,Intel 
Lenovo,11.6,4,32,Chrome OS,2.66,99.55,1366.0,768.0,135.0942111925629,0,0,Celeron Processor,Intel 
HP,14.0,4,512,Windows,5.1,377.79,1366.0,768.0,111.93520355955211,0,0,Celeron Processor,Intel 
Fusion5,14.1,4,128,Windows,2.78,699.99,1920.0,1080.0,156.23455106966654,0,0,Celeron Processor,Intel 
MSI,15.6,16,512,Windows,4.96,1235.71,1920.0,1080.0,141.21199808219862,1,0,Intel Core i7,NVIDIA
HP,11.6,4,512,Others/Linux/Mac OS,8,214.88,1920.0,1080.0,189.90579052433606,0,1,Celeron Processor,Intel 
Lenovo,14.0,16,512,Others/Linux/Mac OS,8,1793.84,1920.0,1080.0,157.3505121487356,0,0,Intel Core i7,Intel 
Lenovo,14.0,8,256,Windows,3.24,883.66,1920.0,1080.0,157.3505121487356,0,1,Intel Core i5,Intel 
Dell,13.3,16,512,Windows,4.25,1900.99,1920.0,1080.0,165.6321180513006,0,0,Intel Core i7,Intel 
Lenovo,16.0,16,512,Windows,4,699.99,1920.0,1200.0,141.50971698084905,0,0,Intel Core i7,Intel 
Core Innovations,14.1,4,64,Windows,2.7,149.99,1366.0,768.0,111.1413368676404,0,0,Celeron Processor,Intel 
Razer,17.3,16,1024,Windows,6.06,2275.94,2560.0,1440.0,169.78089942830815,1,0,Intel Core i7,NVIDIA
HP,10.1,32,32,Windows,2.4,331.0,1280.0,800.0,149.44920605238187,0,1,Other Intel Processor,Intel 
HP,11.6,4,512,Chrome OS,2,345.57,1366.0,768.0,135.0942111925629,0,0,Intel Core i7,Intel 
Lenovo,14.0,4,128,Windows,8,699.99,1920.0,1080.0,157.3505121487356,0,1,AMD Processor,AMD
Acer,15.6,8,512,Windows,3.88,691.8,1920.0,1080.0,141.21199808219862,0,0,AMD Processor,AMD
Durabook,14.0,16,512,Windows,8,3999.99,1920.0,1080.0,157.3505121487356,0,1,Intel Core i7,Intel 
Dell,17.0,32,2048,Windows,5.36,699.99,2560.0,1600.0,177.58082130930077,0,0,Intel Core i7,Intel 
Apple,13.6,8,256,Others/Linux/Mac OS,8,699.99,1920.0,1080.0,161.97846838840428,0,0,Intel Core i7,Intel 
HP,14.0,4,64,Windows,4,699.99,1366.0,768.0,111.93520355955211,0,0,Celeron Processor,Intel 
ASUS,13.3,16,512,Windows,2.2,1539.0,3840.0,2160.0,331.2642361026012,0,0,Intel Core i7,Intel 
ASUS,15.6,32,512,Windows,4.46,2999.99,1920.0,1080.0,141.21199808219862,1,0,Intel Core i7,NVIDIA
Acer,15.6,16,512,Windows,8,1583.8,2560.0,1600.0,193.5175616832124,1,0,Intel Core i7,NVIDIA
Lenovo,13.3,8,256,Windows,8,699.99,1920.0,1080.0,165.6321180513006,0,1,Intel Core i5,Intel 
Dell,15.6,16,256,Windows,6.35,1419.62,1920.0,1080.0,141.21199808219862,0,0,Intel Core i7,Intel 
Razer,15.6,16,1024,Windows,4.4,1999.99,1920.0,1080.0,141.21199808219862,1,0,Intel Core i7,Intel 
Dell,15.6,8,512,Windows,4.26,1385.77,1920.0,1080.0,141.21199808219862,0,0,Intel Core i7,NVIDIA
HP,17.3,32,1024,Windows,7,699.99,1920.0,1080.0,127.33567457123111,0,0,Intel Core i5,Intel 
Acer,13.0,4,64,Windows,8,159.99,1920.0,1080.0,169.45439769863833,0,1,Intel Core i7,Intel 
Dell,16.0,32,1024,Windows,8,699.99,1920.0,1200.0,141.50971698084905,0,0,Intel Core i7,Intel 
Dell,17.0,32,1000,Windows,8,699.99,3840.0,1080.0,234.64616666251288,0,0,Intel Core i9,NVIDIA
HP,11.6,4,512,Chrome OS,2.73,260.38,1366.0,768.0,135.0942111925629,0,0,Celeron Processor,Intel 
LG,17.0,32,2048,Windows,2.98,1793.72,2560.0,1600.0,177.58082130930077,0,0,Intel Core i7,Intel 
Dell,17.3,32,512,Windows,6.65,3614.37,1920.0,1080.0,127.33567457123111,0,0,Intel Core i7,NVIDIA
Lenovo,14.0,12,512,Windows,3.3,789.12,1920.0,1080.0,157.3505121487356,0,0,Intel Core i7,Intel 
Dell,15.6,16,512,Windows,8,699.89,1920.0,1080.0,141.21199808219862,0,0,AMD Processor,AMD
Corsair,16.0,16,16,Windows,5.28,1499.99,2560.0,1600.0,188.67962264113208,1,0,AMD Processor,AMD
Lenovo,14.0,16,512,Windows,4.85,1526.43,1920.0,1200.0,161.72539083525606,0,0,Intel Core i7,Intel 
