Company,Name,Inches,Screen_Resolution,CPU,RAM,Memory,GPU,OpSys,Weights,Price
HP,"HP EliteBook 645 G9 14"" Touchscreen Notebook - Full HD - 1920 x 1080 - AMD Ryzen 5 PRO 5675U Hexa-core (6 Core) 2.30 GHz - 16 GB Total RAM - 512 GB SSD",15.6 Inches,‎1920 x 1080 Pixels,Ryzen 5,16 GB,512 GB,‎AMD Radeon Graphics,‎Windows 10 Pro,‎4.59 pounds,"$1,292.76 "
Acer,"Acer Chromebook 315 CB315-4HT CB315-4HT-C72W 15.6"" Touchscreen Chromebook - Full HD - 1920 x 1080 - Intel Celeron N5100 Quad-core (4 Core) 1.10 GHz - 4 GB RAM - 32 GB Flash Memory - Pure Silver",15.6 Inches,‎1920 x 1080 Pixels,Celeron,4 GB,32 GB,‎Intel UHD Graphics,‎Chrome OS,‎3.53 pounds,$396.00 
HP,"HP Chromebook 14-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14a-na0010nr, Mineral Silver)",14 Inches,‎1366 x 768 Pixels,Celeron,4 GB,32 GB,‎Intel Celeron,‎Chrome OS,‎3.2 pounds,From $102.80
Lenovo,"Lenovo Thinkpad X1 Yoga 2-in-1 Laptop 20FQ000RUS (14-inch Display, i5-6200U 2.3GHz, 8GB RAM, 256GB SSD, Backlit Keyboard, Bluetooth, Windows 10 Pro 64) (Renewed)",14 Inches,‎1920x1080 Pixels,Core i5,8 GB,256 GB,‎Intel HD Graphics 520,‎Windows 10,‎3.06 pounds,From $249.00
Dell,"Dell XPS 9315 Laptop (2022) | 13.4"" FHD+ Touch | Core i7-512GB SSD - 16GB RAM | 10 Cores @ 4.7 GHz - 12th Gen CPU Win 11 Home",13.4 Inches,‎1920x1200 MP,Core i7,16 GB,512 GB,‎Intel Integrated Graphics,‎Windows 11 Home,‎8 pounds,"$1,154.99 "
LG,"LG Gram 16T90R Thin and Lightweight Laptop,Gray",16,‎2560x1600 Pixels,Intel Core i7,16 GB,2 TB,‎Intel Iris,‎Windows 11 Home,‎3.26 pounds,"$2,099.99 "
Dell,"Dell Latitude 12 5000 5289 2-IN-1 Business Laptop 12.5in Gorilla Glass TouchScreen FHD (1920x1080), Intel Core i7-7600U, 256GB SSD, 16GB RAM, Backlit Keys, Windows 10 Pro (Renewed)",12.5 Inches,‎1920x1080,Core i7,16 GB,256 GB,‎Intel HD Graphics 620,‎Windows 10 Pro,‎2.97 pounds,
Lenovo,"Lenovo IdeaPad 3-2023 - Browse Laptop - Ultra-Fast Multi-Tasking - Windows 11 in S Mode - 14"" FDH Display - 8GB Memory - 128 GB Storage - Intel Core i3 11th Gen - Platinum Grey",14 Inches,,Core i3 Family,8 GB,128 GB,,‎Windows 11 S,‎4.54 pounds,$299.99 
Acer,"Acer Aspire Touchpad A315-51-31GK Laptop (Windows 10 Home, Intel Core i3-7100U, 15.6"" LCD Screen, Storage: 1024 GB, RAM: 4 GB) Black",15.6 Inches,‎1366x768 Pixels,Core i3-6100,4 GB,1024 GB,‎Intel HD Graphics 620,‎Windows 10 Home,‎4.7 pounds,$279.99 
HP,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch HD Touchscreen, Windows 10 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0080nr, 2021, Snowflake White)",14 Inches,‎1366 x 768 Pixels,Celeron N4020,4 GB,‎Emmc,‎Intel UHD Graphics 600,‎Windows 10 Home,‎3.24 pounds,$215.48 
